text1,text2,distance
Most religions see sexuality as incredibly limited and intended only for the purpose of reproduction. Moral codes that support such beliefs are unlikely to condone BDSM.,"While Judaism may not endorse domination, none of the religious texts denounce BDSM. This means that there is a possibility of building a supportive Jewish BDSM community.",1
Most religions see sexuality as incredibly limited and intended only for the purpose of reproduction. Moral codes that support such beliefs are unlikely to condone BDSM.,"BDSM is coherent with some interpretations of Islamic scripture. Given this, BDSM communities can offer their Muslim members support and help them to avoid harm.",1
The Christian stance on sexuality views the body as sacred. Subjecting the body to the rituals of BDSM is therefore a strict violation of that belief.,"Practitioners of Christian Domestic Discipline (CDD) believe that wives should adopt a submissive role, and that scripture encourages husbands to spank their wives.",1
The Christian stance on sexuality views the body as sacred. Subjecting the body to the rituals of BDSM is therefore a strict violation of that belief.,Some Christian churches have become increasingly open to BDSM practitioners in a bid to create a more inclusive religion.,1
"Traditional Jews who practice BDSM are subject to extreme stigma from the religious community, which may deter them from building a BDSM community.","While Judaism may not endorse domination, none of the religious texts denounce BDSM. This means that there is a possibility of building a supportive Jewish BDSM community.",1
Many Muslims would consider the spirit of BDSM to be at odds with the cultivation of a moral relationship.,"BDSM is coherent with some interpretations of Islamic scripture. Given this, BDSM communities can offer their Muslim members support and help them to avoid harm.",1
Religious groups are often associated with abuse and significant harm. BDSM that mirrors religion may thus be neither liberatory nor safe.,"The BDSM community shares common characteristics with some religious groups. The widespread acceptance of such groups in society implies that they are not abusive, so BDSM should also not be considered abusive.",1
"It is possible for BDSM to adopt the characteristics of religious rituals without replicating their merits, as kinky play need not conform to the overarching moral systems provided by religions.","The BDSM community shares common characteristics with some religious groups. The widespread acceptance of such groups in society implies that they are not abusive, so BDSM should also not be considered abusive.",1
"Rituals may have arisen from the human need to make sense of the world. Given the modern advances in scientific understanding, such rituals should be jettisoned as they serve no external purpose and often cause harm.","There is a history of connections between spirituality and pain in faith traditions and cultures. Some BDSM practices are rooted in such rituals, making associations with abuse less apt (p. 217).",1
"Since there are other, nonharmful means by which people can achieve altered states of consciousness, BDSM, which requires pain, detracts from any transcendence achieved.","BDSM practice resembles religious ritual in its capacity to produce altered states of consciousness (p. 11). As religion is not typically deemed abusive, BDSM should not be either.",1
"Since there are other, nonharmful means by which people can achieve altered states of consciousness, BDSM, which requires pain, detracts from any transcendence achieved.",Not all forms of BDSM require pain. Neo-tantra utilizes sexual practices to achieve spiritual states or even enlightenment.,1
"Spiritual abuse is common in many traditions and faiths; it is possible for BDSM to be abused in a similar manner, particularly in situations wherein obedience is required.","BDSM practice resembles religious ritual in its capacity to produce altered states of consciousness (p. 11). As religion is not typically deemed abusive, BDSM should not be either.",1
"As the altered states that may arise during BDSM scenes do not necessarily change someone for the better, it is dangerous and potentially abusive to partake in them.",Many people find BDSM play to be transcendental and spiritual (p. 45). This experiential freedom is unlikely to be harmful.,1
"As the altered states that may arise during BDSM scenes do not necessarily change someone for the better, it is dangerous and potentially abusive to partake in them.","Some BDSM practitioners compare themselves to long-distance runners who push their limits (p. 156). In this sense, BDSM acts exist along a spectrum and are unlikely to cause unforeseen harm, as people build up to them over time.",1
"As the altered states that may arise during BDSM scenes do not necessarily change someone for the better, it is dangerous and potentially abusive to partake in them.","BDSM newcomers are encouraged to slowly build up to acts, learning to identify and articulate their desires before they begin scenes. This may make harmful experiences less likely.",1
Radical feminists have argued that BDSM practices replicate patriarchal power dynamics and promote violent misogyny (p. 58).,"BDSM practice can be incredibly liberating. If it were abusive, people would not consistently view it as liberatory.",1
Radical feminists have argued that BDSM practices replicate patriarchal power dynamics and promote violent misogyny (p. 58).,Radical feminism is not representative of all feminist stances; the perspectives of feminist groups who view BDSM as liberating should not be ignored.,1
Radical feminists have argued that BDSM practices replicate patriarchal power dynamics and promote violent misogyny (p. 58).,"Since many activities can replicate patriarchal power dynamics, it is reductive to split acts into a good/bad binary, as this ignores the nuances of harm.",1
"Women cannot consent to BDSM as free and equal subjects. When they appear to do so, it is out of naivete, ignorance, or false consciousness (p. 181).","Framing submissive women as dupes ignores the agency they derive from negotiating their sexual role (p. 36). This strips women of their ability to advocate for themselves, creating a hermeneutical injustice (p. 99).",1
BDSM is intended to teach women that they should submit to male domination and is therefore an inherently repressive act.,BDSM relationships may free women of otherwise normalised patterns of patriarchal domination by emphasising communication in pursuit of consent.,1
BDSM is intended to teach women that they should submit to male domination and is therefore an inherently repressive act.,"BDSM offers a space to break down gendered sex roles; women are able to be dominant, whereas men can be submissive. This flips the traditional normative scripts.",1
Women have been socialized to derive sexual pleasure from their own powerlessness. Activities that encourage this propagate an abusive and exploitative system.,"BDSM merely simulates inequality instead of replicating it (p. 58). By discussing inequality in scenes, participants may be able to subvert typical exploitation.",1
Women have been socialized to derive sexual pleasure from their own powerlessness. Activities that encourage this propagate an abusive and exploitative system.,BDSM encourages participants to experiment and explore to the extent that 'switch' is a commonly accepted category. This flexibility empowers women and could undermine their restrictive socialisation.,1
"The very idea that a woman must act 'like a man' in order to have power reinforces traditional gender roles. Given this, dominatrixes are unlikely to serve a liberatory function and instead are likely to reinforce entrenched patriarchal norms.","The stereotype of the dominatrix inverts deeply conservative ideas of gender, as the dominant woman is celebrated for acting 'like a man' in a way that can be incredibly liberatory.",1
BDSM practitioners may inadvertently maintain the sexist expectation that women are submissive through their interactions with others in the community.,"BDSM offers a space to break down gendered sex roles; women are able to be dominant, whereas men can be submissive. This flips the traditional normative scripts.",1
"Since it is more common for men than women to fantasize about dominating someone sexually, more often than not, BDSM is oppressive and adheres to patriarchal scripts.","BDSM offers a space to break down gendered sex roles; women are able to be dominant, whereas men can be submissive. This flips the traditional normative scripts.",1
"Since it is more common for men than women to fantasize about dominating someone sexually, more often than not, BDSM is oppressive and adheres to patriarchal scripts.",Only 13% more men than women want to dominate others. Such differences are unlikely to be meaningful in practice and may change over time.,1
"Many people are increasingly wary of sex-positive views of BDSM, as they believe it has normalised oppressive acts. This may increase support for radical feminist views.",Radical feminism is not representative of all feminist stances; the perspectives of feminist groups who view BDSM as liberating should not be ignored.,1
"BDSM participants are often encouraged to meet their partners halfway to facilitate their desires; this may disproportionately pressure women, who are less likely to seek out kink (p. 87), and lead to harmful coercion.","Since many activities can replicate patriarchal power dynamics, it is reductive to split acts into a good/bad binary, as this ignores the nuances of harm.",1
BDSM practices have historically been characterised as pathological deviances rather than valid expressions of sexuality (p. 141). Non-abusive sexual activities would not have been viewed in such a manner.,"BDSM practice can be incredibly liberating. If it were abusive, people would not consistently view it as liberatory.",1
BDSM practices have historically been characterised as pathological deviances rather than valid expressions of sexuality (p. 141). Non-abusive sexual activities would not have been viewed in such a manner.,"Historic categorisations of BDSM have been undermined by newer studies that correlate consensual BDSM with positive mental health traits. As such, historic views should not be used to condemn the activity.",1
BDSM practices have historically been characterised as pathological deviances rather than valid expressions of sexuality (p. 141). Non-abusive sexual activities would not have been viewed in such a manner.,"BDSM can enable participants to engage in mindfulness, which is proven to have a large number of psychological benefits. This undermines historic evidence for such acts as pathologically deviant.",1
"The DSM II listed homosexuality, masochism, sadism, fetishism, and other consensual minority sexualities in the category of 'sexual deviations.' Such categorisations correspond to societal norms of propriety, physical abuse, and moral harm.","The study of human psychology is constantly evolving. Based on recent findings, psychiatric organisations no longer categorise consensual BDSM as a pathology (p. 1535).",1
"Even if not extreme enough to be classified as a disorder, paraphilias, like sexual sadism and masochism, are deviant behaviours that can become serious mental health concerns. Given this, such acts should be avoided.",Deviant behaviour may not be problematic in small amounts; deviance can be valuable to society as people's reactions to it often reaffirm norms and strengthen social bonds.,1
"The move to depathologize paraphilias as disorders has been driven by legal concerns rather than by a legitimate concern for accurate diagnosis (p. 1). Thus, BDSM may be still be abusive.","The existence of a legal motivation for depathologising BDSM does not imply that it is abusive or pathological, but rather that BDSM practitioners have faced rampant discrimination in legal systems (pp. 42-43).",1
"Modern psychology is highly relativistic, which may allow harm to be more easily excused. As the historical interpretation of BDSM springs from traditional social values, it should be preserved to mitigate abuse.","Historic categorisations of BDSM have been undermined by newer studies that correlate consensual BDSM with positive mental health traits. As such, historic views should not be used to condemn the activity.",1
BDSM practitioners show higher levels of dissociation and narcissism than non-practitioners. This undermines the idea that the practice is psychologically beneficial.,"BDSM can enable participants to engage in mindfulness, which is proven to have a large number of psychological benefits. This undermines historic evidence for such acts as pathologically deviant.",1
"Although some abuse stems from anger management problems, many forms of abuse commonly occur without anger or emotional outburst.","Media sometimes portray BDSM scenes as dramatic or uncontrolled (p. 73), which is characteristic of abuse. In healthy BDSM, the dominant partner should never act spontaneously out of anger.",1
The way BDSM is designed and the way it actually works in practice are two completely different things. Discrepancies in media portrayals may be caused by differences between theory and practice.,Portrayals of BDSM often fail to show how the emotional experience of a scene is profoundly different from that of abuse.,1
"Some BDSM pornography performers have described their experiences as emotionally crushing abuse, so media portrayals may be more accurate than the community wishes to admit.",Portrayals of BDSM often fail to show how the emotional experience of a scene is profoundly different from that of abuse.,1
"Abuse is inherent in an action, not in the agreement or lack thereof, meaning that, despite negotiations, BDSM can be abusive.",Portrayals of BDSM often fail to show or acknowledge that all actions taken during a scene are negotiated before they happen.,1
Portrayals of BDSM that omit safe words are intended as fantasy rather than as accurate portrayals of real-life practices and experiences.,"BDSM pornography and erotica sometimes omit references to the use of safe words, which allow participants to stop scenes at any time for physical or emotional reasons.",1
"Rather than constituting an inaccurate portrayal, pornography that depicts abusive BDSM is concrete evidence of the abusive nature of such practices.","Pornography and erotica, which are the most available access points to BDSM for many people, inaccurately portray common BDSM consent and risk awareness practices.",1
"Access to BDSM no longer relies on pornography and erotica; it is accessible through TV, restaurants, activism, and fashion. This ubiquity makes it easier to discuss safe practices and counter misconceptions.","Pornography and erotica, which are the most available access points to BDSM for many people, inaccurately portray common BDSM consent and risk awareness practices.",1
"Access to BDSM no longer relies on pornography and erotica; it is accessible through TV, restaurants, activism, and fashion. This ubiquity makes it easier to discuss safe practices and counter misconceptions.","Despite increased access to BDSM through other channels, the great ease of access through online pornography remains problematic, as it has been associated with increased sexual violence (p. 2).",1
"As taught increasingly in porn literacy sessions, pornography is not meant to be realistic; therefore, it is misguided to expect it to serve any function other than arousal.","Pornography and erotica, which are the most available access points to BDSM for many people, inaccurately portray common BDSM consent and risk awareness practices.",1
It would be impossible to portray BDSM practices that are inherently based on abuse and humiliation as not abusive; such practices encourage dehumanisation.,Portrayals of BDSM often overlook key elements and practices that distinguish it from abuse.,1
It would be impossible to portray BDSM practices that are inherently based on abuse and humiliation as not abusive; such practices encourage dehumanisation.,"Some participate in erotic humiliation because they find it pleasurable and sexually arousing; if they do not find it dehumanising, then there is no reason for others to believe that it is.",1
It would be impossible to portray BDSM practices that are inherently based on abuse and humiliation as not abusive; such practices encourage dehumanisation.,"As there are a wide array of activities associated with BDSM and a great disparity in how individuals view different practices, the assertion that any given practice is inherently dehumanising is unsupportable.",1
It would be impossible to portray BDSM practices that are inherently based on abuse and humiliation as not abusive; such practices encourage dehumanisation.,"Dehumanisation is distinct from depersonalisation, and is not inherently abusive; people may willingly seek to forgo some common human boundaries.",1
"Bondage play can involve varying degrees of restriction of movement. When such acts are depicted, it may be hard to portray them positively.",Shibari can be subversive and freeing for those who engage in the practice. Positively depicting such practices may encourage more people to explore them.,1
"Sadomasochism involves taking sexual pleasure in the infliction of pain or humiliation. As such practices inherently involve harm or dehumanisation, it is sensible that portrayals ascribe them negative connotations.",Pain and humiliation do not automatically constitute harm or dehumanisation when they are desired and sought after by the participants.,1
"Sadomasochism involves taking sexual pleasure in the infliction of pain or humiliation. As such practices inherently involve harm or dehumanisation, it is sensible that portrayals ascribe them negative connotations.","Since BDSM requires neither harsh or coarsely insulting language, nor physical or emotional injury, it is not inherently abusive.",1
"A person could consent to participate in cuckolding in the interest of satisfying their partner's desires, yet still be dehumanised and emotionally damaged by it.","Some participate in erotic humiliation because they find it pleasurable and sexually arousing; if they do not find it dehumanising, then there is no reason for others to believe that it is.",1
"A person could consent to participate in cuckolding in the interest of satisfying their partner's desires, yet still be dehumanised and emotionally damaged by it.",Cuckolding isn't considered abusive if the parties agree on the humiliation. Open communication can help avoid harms that could otherwise occur.,1
"A person could consent to participate in cuckolding in the interest of satisfying their partner's desires, yet still be dehumanised and emotionally damaged by it.",Not everyone is possessive of their partner's physical affection; some people are highly aroused by watching their partner be intimate with a third party.,1
"Pain and humiliation are not the only forms of abuse that exist. Maltreatment and improper and/or excessive misuse, such as forcing someone's obedience, can be abusive though it is not typically thought of as such.","As there are a wide array of activities associated with BDSM and a great disparity in how individuals view different practices, the assertion that any given practice is inherently dehumanising is unsupportable.",1
"Although BDSM on the whole may not fit this description, this may accurately describe a subset of BDSM practitioners and practices. Accurate portrayals of an abusive subset may be colouring perceptions of the entire community.","Portrayals of BDSM as abusive come from misconceptions of it as a pathological, criminal, or anti-feminist mental illness (p. 137). As the criminalised and mentally ill are often socially excluded, BDSM practitioners have little power to resist these associations.",1
A large portion of the novice audience of 'Fifty Shades of Grey' is likely to view it as representative of a good and healthy BDSM relationship.,"The 'Fifty Shades of Grey' book and film series is a strong example of a book written by a non-BDSM practitioner that describes abuse under the guise of BDSM. In the book itself, the main character states she feels abused.",1
Authors who are not practitioners are still capable of portraying BDSM practices accurately as most research a topic extensively before writing. It is unlikely that vanilla BDSM authors would fail to become aware of such standards.,"Some books about abusive relationships deemed representative of BDSM have been written by vanilla authors that do not fully understand BDSM, making them more likely to promulgate problematic stereotypes and depict abusive practices in their fiction.",1
"As portrayals of BDSM as abusive and nonconsensual can be created by those within the community, it is clear the practices that distinguish it from abuse are not always deemed critical.","Some books about abusive relationships deemed representative of BDSM have been written by vanilla authors that do not fully understand BDSM, making them more likely to promulgate problematic stereotypes and depict abusive practices in their fiction.",1
"As portrayals of BDSM as abusive and nonconsensual can be created by those within the community, it is clear the practices that distinguish it from abuse are not always deemed critical.",Some authors with experience in BDSM write for others in the community; they may assume that the audience is composed of ideal readers that can identify inaccurate portrayals and distinguish fantasy from reality (p. 1).,1
"Despite increasing public awareness and acceptance of alternative sexualities (p. 61), BDSM has remained highly stigmatised. As some people consider BDSM to be abusive, despite understanding the practice, this stigma may come from an understanding of the harmful nature of BDSM.",BDSM is practiced by a limited and historically marginalised community; inaccurate portrayals of BDSM as abusive are often rooted in the misconceptions of outsiders that leave little space for counter-narrative.,1
"Despite increasing public awareness and acceptance of alternative sexualities (p. 61), BDSM has remained highly stigmatised. As some people consider BDSM to be abusive, despite understanding the practice, this stigma may come from an understanding of the harmful nature of BDSM.","The reason for stigmatization of BDSM cannot be innate harm since even harmless, nonabusive kinks are often frowned upon. Given this, stigma may be guided by unconscious biases that are difficult to unpack.",1
"Despite increasing public awareness and acceptance of alternative sexualities (p. 61), BDSM has remained highly stigmatised. As some people consider BDSM to be abusive, despite understanding the practice, this stigma may come from an understanding of the harmful nature of BDSM.",Increased representation of BDSM in the media has decreased stigma by increasing the number of portrayals that depict BDSM as mundane and commonplace (p. 109).,1
Portrayals of desire do not arise in a vacuum. The success of books that associate abuse with erotic desire and BDSM may be based on the real-world experiences of readers who identify with such portrayals.,BDSM is inaccurately portrayed as abusive in order to improve sales.,1
"As literature mirrors society (pp. 1-2), reflecting its norms and values, BDSM may well be abusive given the ubiquitous portrayal of it as such.",Many representations of BDSM portray abusive relationships and behaviour that bear little resemblance to actual BDSM practice.,1
"As literature mirrors society (pp. 1-2), reflecting its norms and values, BDSM may well be abusive given the ubiquitous portrayal of it as such.","The social attitudes, opinions, and assumptions of authors are often unconsciously reflected in their writing. This may be what mars representations of BDSM, not reality.",1
"As literature mirrors society (pp. 1-2), reflecting its norms and values, BDSM may well be abusive given the ubiquitous portrayal of it as such.","There are many positive, non-abusive depictions of BDSM.",1
"Media often addresses popular or relevant issues. Increasing attention devoted to sexual abuse (pp. 9-10) has also drawn notice to other abusive practices, such as BDSM.","BDSM has continued to grow in popularity (p. 104); this undermines the idea that it is abusive, or percieved as such, as abuse normally morally repulses people.",1
"Media often addresses popular or relevant issues. Increasing attention devoted to sexual abuse (pp. 9-10) has also drawn notice to other abusive practices, such as BDSM.",BDSM subculture holds dramatically different values from society at large (p. 78). This ideological disjunct could be the root of misunderstandings of the BDSM community.,1
"Abusive behaviours often go unpunished in society, therefore, BDSM could be both popular and abusive.","BDSM has continued to grow in popularity (p. 104); this undermines the idea that it is abusive, or percieved as such, as abuse normally morally repulses people.",1
"The BDSM community is still affected by rape culture and has, at times, been guilty of ignoring or whitewashing legitimate allegations of abuse.",Perceptions and portrayals of BDSM as abusive may stem from the normalisation of rape and abuse in society at large (p. 24).,1
"Romance novelists increasingly place consent at the heart of their scenes, especially when portraying kink. This would occur less frequently if people thought it harmed sales.","As most people are vanilla and cannot distinguish if a portrayal of BDSM is accurate, depictions of healthy relationships may be crowded out by those that confirm a biased and stigmatised view of the practice.",1
"There is no single, unified BDSM subculture; there are a number of independent subcultures that support BDSM practices. Any attempt to summarise the values of BDSM subculture as a whole is reductive.",BDSM subculture holds dramatically different values from society at large (p. 78). This ideological disjunct could be the root of misunderstandings of the BDSM community.,1
Classical literature about BDSM usually describes dysfunctional and/or abusive relationships (pp. 210-211). This indicates that the understanding of BDSM as harmful transcends specific times and cultures.,"There are meaningful distinctions between historical sadomasochism and modern BDSM, so classical literature is not a useful source for characterising current practices.",1
People can still be influenced by classic depictions of BDSM such that historic harmful practices are still practiced and influence people's perceptions of BDSM.,"There are meaningful distinctions between historical sadomasochism and modern BDSM, so classical literature is not a useful source for characterising current practices.",1
"Regardless of unconscious influence, the opinions and perspectives of authors can be accurate, as can the representations they create. Authors and editors can interrogate unconscious bias in the work and can use outside consultants to ensure accuracy.","The social attitudes, opinions, and assumptions of authors are often unconsciously reflected in their writing. This may be what mars representations of BDSM, not reality.",1
'Billions' reinforces the inaccurate 'BDSM submissives are emotionally damaged' trope by indicating that Chuck's reason for becoming a submissive is his father's abuse of his mother.,"In the TV show 'Billions,' two of the lead characters share a non-abusive slave-mistress BDSM relationship. The show has been praised by some for its balanced portrayal of BDSM.",1
"Although some of the BDSM practices in 'Billions' are accurate, there remain a number of problematic portrayals.","In the TV show 'Billions,' two of the lead characters share a non-abusive slave-mistress BDSM relationship. The show has been praised by some for its balanced portrayal of BDSM.",1
'Secretary' depicts Lee's history of self-harm and psychological issues as her motivation for becoming submissive. This propagates the harmful stereotype of BDSM participants as psychologically unwell.,"While at first glance, 'Secretary' may seem like a reinforcement of typical male dominance/female submission tropes, the depth and complexity of the characters make this film a fairly realistic representation of a non-abusive BDSM relationship.",1
"A proper BDSM relationship involves a negotiation of limits and consent prior to any activity, which 'Secretary' lacks. Consequently, the initiation of the characters' relationship could be considered abuse.","While at first glance, 'Secretary' may seem like a reinforcement of typical male dominance/female submission tropes, the depth and complexity of the characters make this film a fairly realistic representation of a non-abusive BDSM relationship.",1
"Even if some representations of BDSM portray non-abusive behaviour, these may not compensate for the many that depict BDSM as abusive.","There are many positive, non-abusive depictions of BDSM.",1
"Because of negativity bias, abusive portrayals of BDSM have a far greater impact on audiences than healthy ones.","There are many positive, non-abusive depictions of BDSM.",1
"Inaccurately-depicted BDSM practices may be adopted, and in turn, foster abuse. Over time, this creates a self-fulfilling prophecy as BDSM comes to match the abuse portrayed in the media.",Perceptions of BDSM as abusive arise from inaccurate portrayals.,1
"Inaccurately-depicted BDSM practices may be adopted, and in turn, foster abuse. Over time, this creates a self-fulfilling prophecy as BDSM comes to match the abuse portrayed in the media.","It is unfair to hold BDSM communities responsible for how their practices are portrayed by the media, especially as many practitioners use terms with specific meanings to distinguish their practices from these misrepresentations.",1
"Inaccurately-depicted BDSM practices may be adopted, and in turn, foster abuse. Over time, this creates a self-fulfilling prophecy as BDSM comes to match the abuse portrayed in the media.","Growing public awareness of BDSM has produced a great number of guides, forums and resources where safe and consensual practices are described and encouraged—this safeguards the community from abuse.",1
"Even though they might not be intended as such, pop culture representations of BDSM are a source of information for a significant number of people.","People learn about sex from myriad sources, including parents, friends and schools. There is no reason to believe they cannot critically examine depictions of BDSM.",1
"Even though they might not be intended as such, pop culture representations of BDSM are a source of information for a significant number of people.","People should understand that they should be informed before taking potentially dangerous actions, such as BDSM, so they are unlikely to act based solely on knowledge gleaned from fiction.",1
Adolescents provided with inadequate sex education may think that inaccurate portrayals of BDSM depict healthy sexual practices.,The creators of BDSM-themed media marketed to adults do not have any responsibility for providing sex education to adolescents.,1
"Society adapts to media, as audiences are informed and influenced by what they see. In some instances, individuals and society can be profoundly changed.",Research suggests that exposure to media portrayals of violence has little to no effect in promoting violent behaviour in viewers (p. 324). The same may apply to BDSM and abusive practices.,1
"Society adapts to media, as audiences are informed and influenced by what they see. In some instances, individuals and society can be profoundly changed.",It is unlikely that most viewers believe fictional portrayals of BDSM are accurate.,1
Realistic fiction is a common narrative genre that depicts situations as they might occur in reality. This may muddy the waters for audiences who could struggle to distinguish reality from fiction.,Media portrayals of BDSM are no different than portrayals of any other topic; audiences accept that almost no narrative media depict reality accurately.,1
"Despite intention, many people do take fictional stories at face value.",It is unlikely that most viewers believe fictional portrayals of BDSM are accurate.,1
"As immersion and appreciation of a story are not affected by knowing whether or not it is fictional (p. 12), audiences may subconsciously believe that fictional BDSM stories are realistic.",It is unlikely that most viewers believe fictional portrayals of BDSM are accurate.,1
Groups are often held accountable for the downstream social effects of their behaviour (p. 354). There is no reason to exclude BDSM practitioners from this duty of care.,"It is unfair to hold BDSM communities responsible for how their practices are portrayed by the media, especially as many practitioners use terms with specific meanings to distinguish their practices from these misrepresentations.",1
"Authors of BDSM media are responsible for the actions of their audience, especially those who otherwise would not have learned of the practice. From a utilitarian perspective, authors should therefore act in a way that limits harm.","It is unfair to hold BDSM communities responsible for how their practices are portrayed by the media, especially as many practitioners use terms with specific meanings to distinguish their practices from these misrepresentations.",1
"Authors of BDSM media are responsible for the actions of their audience, especially those who otherwise would not have learned of the practice. From a utilitarian perspective, authors should therefore act in a way that limits harm.","Fiction writers do not have any social responsibility; rather, they are responsible only for creating good stories.",1
Many fiction writers believe that they are accountable for the effects of their work and that they are obligated to be socially responsible.,"Fiction writers do not have any social responsibility; rather, they are responsible only for creating good stories.",1
"As beginners have little way of discerning which BDSM resources are accurate and dependable, they are at risk of learning and adopting incorrect practices that cause significant harm to others.","Growing public awareness of BDSM has produced a great number of guides, forums and resources where safe and consensual practices are described and encouraged—this safeguards the community from abuse.",1
"Despite attempts to share knowledge of best practices, the normalisation of BDSM-influenced sex acts in the public consciousness has contributed to an increase in non-consensual actions.","Growing public awareness of BDSM has produced a great number of guides, forums and resources where safe and consensual practices are described and encouraged—this safeguards the community from abuse.",1
"Despite attempts to share knowledge of best practices, the normalisation of BDSM-influenced sex acts in the public consciousness has contributed to an increase in non-consensual actions.","There has been a dramatic increase in social awareness about the prevalence of sexual assault in recent decades (pp. 181-182). There is no evidence that BDSM has increased such behaviour, as participants do not report higher levels of assault.",1
"Sexual assault in the BDSM community may go unreported because of fear of increasing the stigma the community faces, especially as increased levels of stigma are associated with lower reporting rates of sexual assault.","There has been a dramatic increase in social awareness about the prevalence of sexual assault in recent decades (pp. 181-182). There is no evidence that BDSM has increased such behaviour, as participants do not report higher levels of assault.",1
"Although official reports may be scarce, many bloggers and activists within the BDSM scene have written and spoken out about consent violations, rape, and sexual assault within the community.","There has been a dramatic increase in social awareness about the prevalence of sexual assault in recent decades (pp. 181-182). There is no evidence that BDSM has increased such behaviour, as participants do not report higher levels of assault.",1
Many people attempt or adopt BDSM practices on their own without becoming involved in the community.,"Growing public awareness of BDSM has produced a great number of guides, forums and resources where safe and consensual practices are described and encouraged—this safeguards the community from abuse.",1
"Considering the financial situation of a potential sexual partner amongst other factors is different from predicating the entire interaction on financial compensation since the latter does not represent the type of healthy, mutual investment found in stable, rewarding relationships.","If it is acceptable to choose with whom one wants to have non-commercial sex, then it should also be acceptable to do so when the sex is commercial, as financial compensation is merely another factor to consider when picking a sexual partner.",1
"The state has compelling interests in ensuring the health and rights of its citizens and combating crime, which justify its interference in the case of sex work.",Criminalising sex work denies sex workers and clients the ability to choose with whom and under what conditions they have sex; this choice should not be subject to the approval of the state.,1
"Bodily autonomy does not protect a number of acts that are likely to result in harm to the individual or society at large, such as the use of illegal drugs (p. 17).","In the US, the right to bodily autonomy extends to a number of potentially harmful acts, such as refusing recommended medical treatments.",1
The right to bodily autonomy does not allow individuals to inflict harm upon others or society writ large.,The right to bodily autonomy is meaningless unless it extends to the right to use one's body for acts that others may not agree with or support.,1
The right to bodily autonomy does not allow individuals to inflict harm upon others or society writ large.,"The alleged harm of consensual sex work is moral in nature. Since moral values are relative, the state should not intervene to enforce them and should instead focus on material harms.",1
"Sex work allows the bodies of workers to be used and controlled by others, which severely diminishes their bodily autonomy.",The right to bodily autonomy is meaningless unless it extends to the right to use one's body for acts that others may not agree with or support.,1
"Sex work allows the bodies of workers to be used and controlled by others, which severely diminishes their bodily autonomy.","In consensual sex work, workers are able to negotiate and choose the ways in which their body is or is not used, thereby protecting their autonomy (p. 85).",1
"Sex work allows the bodies of workers to be used and controlled by others, which severely diminishes their bodily autonomy.","The legalisation of sex work would cement sex work as a financial exchange, guaranteeing the bodily autonomy of women to a greater extent.",1
"Women's self-ownership should not depend on financial empowerment because, in a world where men control most wealth, their autonomy would remain reliant on men's interests.","The legalisation of sex work would cement sex work as a financial exchange, guaranteeing the bodily autonomy of women to a greater extent.",1
"Sex workers in Britain make around GBP £20,000 per year, well below the national average wage. Thus, the financial autonomy gained from sex work is minimal compared to other jobs.","The legalisation of sex work would cement sex work as a financial exchange, guaranteeing the bodily autonomy of women to a greater extent.",1
Evidence has shown that a lack of government intervention in sex work has often resulted in worse conditions for workers (p. 11).,The criminalisation of sex work inherently involves an undue scrutiny of others' sex lives and has been linked with voyeuristic and exhibitionist tendencies in society (p. 12).,1
There are many ways in which private sexual activity is – and should be – subject to law; sex work is not unique in this way.,The criminalisation of sex work inherently involves an undue scrutiny of others' sex lives and has been linked with voyeuristic and exhibitionist tendencies in society (p. 12).,1
"Sex work, as a commercial transaction, is inherently public in nature.","The criminalisation of sex work is an infringement on sex workers' right to privacy, as it polices conduct that is typically private (p. 643).",1
"Sex work, as a commercial transaction, is inherently public in nature.","Commercial transactions can nonetheless be private in nature; e.g., there is a reasonable expectation that self-funded therapy is not treated differently to publicly funded provisions.",1
"Sex work, as a commercial transaction, is inherently public in nature.",The sex lives of individuals are not a matter of public interest and should not be considered as such.,1
"It is in society's interest to enable male sexual satiation (p. 329); while both sex work and pornography do so, sex work exposes clients to a range of risks, while pornography does not (p. 248).",Sex workers and pornography performers have identical financial motivations for participating in sex (p. 245).,1
Pornography performers are not paid for sex; they are paid for acting in roles that may require them to engage in sex.,Pornography involves both monetary compensation and sexual activity and is legal in many jurisdictions where sex work remains illegal.,1
Pornography performers are not paid for sex; they are paid for acting in roles that may require them to engage in sex.,"There is no way of reliably determining the intention of someone producing pornography; it is possible that their intention is to pay for sex, only using the film as a legal shield.",1
Sex between married partners is not predicated on financial exchange. Transactional and conditional sex damages the intimacy between married couples.,"Marriage often involves both consensual sex and financial exchange, yet it is legal while sex work is not.",1
Sex between married partners is not predicated on financial exchange. Transactional and conditional sex damages the intimacy between married couples.,"In some societies, it is common practice to refrain from consummating a marriage until a dowry has been paid (p. 2).",1
The context in which sex work occurs is a primary motivation for its illegality.,Consensual sex involving financial exchange is legal in other contexts.,1
The context in which sex work occurs is a primary motivation for its illegality.,"The issues presented by the context of sex work are results of, rather than reasons for, its illegality.",1
"In a society characterised by pervasive male violence, sex work cannot feasibly be made safer.","Even if legalisation cannot improve the safety of sex work, it might reduce overall male violence by acting as a replacement for sexual assault (p. 6).",1
"Sexual relationships are inherently private in nature, so even in a legalized context, sex work inherently creates opportunities for abuse and exploitation (p. 224).","The issues presented by the context of sex work are results of, rather than reasons for, its illegality.",1
